Partida,Barruko ,Deskribapena,Has.ko aurrek.,B. betiko aurrek.,Atxikipenak,Baimendua,Erabilgarria,Xedatua,Obligazioa,ME,Ordainketa,Urtea,Funtzionala,Dirección,Kapitulua,Sección,Organikoa
1 05.227.99.311.00 2021,4668.0,KONTRATUA:ARRATOI-GARBIKETA,7000.0,7000.0,0.0,0.0,7000.0,0.0,0.0,0.0,0.0,2021,31100,,2,,05
1 05.227.99.311.01 2021,4669.0,KONTRATUA:KOMUNEN GARBIKETA,30300.0,30300.0,0.0,0.0,30300.0,0.0,0.0,0.0,0.0,2021,31101,,2,,05
1 05.422.01.441.10 2019,6291.0,GIPUZKOAKO GARRAIO AGENTZIA. KUOTA,0.0,0.0,0.0,12480.0,-12480.0,12480.0,0.0,0.0,0.0,2019,44110,,4,,05
1 05.422.01.441.10 2021,4672.0,GIPUZKOAKO GARRAIO AGENTZIA. KUOTA,5000.0,5000.0,0.0,899.75,4100.25,899.75,899.75,899.75,899.75,2021,44110,,4,,05
1 05.471.01.441.10 2021,4674.0,EMAKIDA..HERNANIKO HIRIBUSA,58500.0,58500.0,0.0,0.0,58500.0,0.0,0.0,0.0,0.0,2021,44110,,4,,05
1 05.601.01.134.00 2020,6636.0,IRISGARRITASUN OBRAK,0.0,0.0,0.0,37303.45,-37303.45,37303.45,0.0,0.0,0.0,2020,13400,,6,,05
1 05.601.01.153.20 2020,6637.0,ASFALTATZE PLANA,0.0,0.0,0.0,100000.0,-100000.0,0.0,0.0,0.0,0.0,2020,15320,,6,,05
1 05.601.01.153.70 2020,6725.0,LANDA BIDEAK. INBERTSIOA,0.0,0.0,0.0,72807.64,-72807.64,0.0,0.0,0.0,0.0,2020,15370,,6,,05
1 05.601.01.153.70 2021,4891.0,LANDA BIDEAK. INBERTSIOA,10000.0,10000.0,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,2021,15370,,6,,05
1 05.601.02.153.30 2018,6293.0,URBANIZAZIOA.MAÑE-FLAQUER PLAZA,0.0,0.0,0.0,99425.25,-99425.25,0.0,0.0,0.0,0.0,2018,15330,,6,,05
1 05.609.03.153.30 2021,5242.0,KALE ALTZARIAK,15000.0,15000.0,0.0,0.0,15000.0,0.0,0.0,0.0,0.0,2021,15330,,6,,05
1 05.609.05.153.30 2020,6640.0,MARKESINA-Atsegindegi,0.0,0.0,0.0,30000.0,-30000.0,0.0,0.0,0.0,0.0,2020,15330,,6,,05
1 05.622.01.323.10 2019,6296.0,IKASTETXEAK-INBERTSIOAK,0.0,0.0,0.0,9191.16,-9191.16,9191.16,0.0,0.0,0.0,2019,32310,,6,,05
1 05.622.01.323.10 2020,6641.0,IKASTETXEAK-INBERTSIOAK,0.0,0.0,0.0,11452.96,-11452.96,11452.96,0.0,0.0,0.0,2020,32310,,6,,05
1 05.622.01.920.02 2018,6297.0,INBERTSIOAK-UDAL ARETO NAGUSIA,0.0,0.0,0.0,184154.11,-184154.11,0.0,0.0,0.0,0.0,2018,92002,,6,,05
1 05.622.01.920.02 2020,6726.0,UDALETXEKO ESTALKIA,0.0,0.0,0.0,30000.0,-30000.0,0.0,0.0,0.0,0.0,2020,92002,,6,,05
1 05.622.01.920.02 2021,6155.0,UDAL ERAIKINAK-INBERTSIOAK,25000.0,25000.0,0.0,0.0,25000.0,0.0,0.0,0.0,0.0,2021,92002,,6,,05
1 05.622.02.323.10 2020,6639.0,ELIZATXO-PSIKOMOTRIZITATE GELA,0.0,0.0,0.0,70000.0,-70000.0,0.0,0.0,0.0,0.0,2020,32310,,6,,05
1 05.623.01.160.00 2020,6727.0,HOBEKUNTZAK-SANEAMENDUA,0.0,0.0,0.0,59202.6,-59202.6,0.0,0.0,0.0,0.0,2020,16000,,6,,05
1 05.623.01.160.00 2021,5245.0,HOBEKUNTZAK-SANEAMENDUA,25000.0,25000.0,0.0,10797.4,14202.6,10797.4,0.0,0.0,0.0,2021,16000,,6,,05
1 05.623.02.161.00 2020,6728.0,HOBEKUNTZAK-UR HORNIDURA,0.0,0.0,0.0,23215.97,-23215.97,0.0,0.0,0.0,0.0,2020,16100,,6,,05
1 05.623.02.161.00 2021,4683.0,HOBEKUNTZAK-UR HORNIDURA,25000.0,25000.0,0.0,17043.0,7957.0,17043.0,0.0,0.0,0.0,2021,16100,,6,,05
1 09.227.07.172.20 2019,6304.0,HE-7-KUTSADURA-ZARATA,0.0,0.0,0.0,40000.0,-40000.0,0.0,0.0,0.0,0.0,2019,17220,,2,,09
1 09.227.98.172.20 2020,6642.0,HE-20-BERRERABILGARRIAK,0.0,0.0,0.0,15655.21,-15655.21,0.0,0.0,0.0,0.0,2020,17220,,2,,09
1 09.227.98.231.90 2020,6643.0,HE-3-IKASTAROAK ADINEKOAK,0.0,0.0,0.0,1089.0,-1089.0,0.0,0.0,0.0,0.0,2020,23190,,2,,09
1 09.227.99.172.20 2020,6644.0,HE-16-PLASTIKO POLTSAK,0.0,0.0,0.0,10000.0,-10000.0,0.0,0.0,0.0,0.0,2020,17220,,2,,09
1 09.227.99.231.90 2020,6645.0,HE-1-AHOLKULARITZA ADINEKOENTZAT,0.0,0.0,0.0,9075.0,-9075.0,0.0,0.0,0.0,0.0,2020,23190,,2,,09
1 09.471.01.241.00 2020,6646.0,HE-15-DIRULAG.ELIKADURA BURUJABETZA,0.0,0.0,0.0,19035.3,-19035.3,7741.18,0.0,0.0,0.0,2020,24100,,4,,09
1 09.601.01.151.10 2019,6329.0,HE-4-BIZIKLETA PISTA,0.0,0.0,0.0,120000.0,-120000.0,0.0,0.0,0.0,0.0,2019,15110,,6,,09
1 09.601.01.342.09 2018,6306.0,HE-6-ATL PISTA INGURUA,0.0,0.0,0.0,17000.0,-17000.0,17000.0,0.0,0.0,0.0,2018,34209,,6,,09
1 09.601.02.151.10 2019,6330.0,HE-5-KARABEL APARKALEKUA,0.0,0.0,0.0,136052.59,-136052.59,36052.59,0.0,0.0,0.0,2019,15110,,6,,09
1 09.601.02.153.30 2019,6331.0,HE-6-OINEZKOEN SEGURTASUNA,0.0,0.0,0.0,115000.0,-115000.0,0.0,0.0,0.0,0.0,2019,15330,,6,,09
1 09.601.03.153.30 2020,6647.0,HE-12-ZUBIPE-LANDARE-APARKALEKUA,0.0,0.0,0.0,33396.0,-33396.0,0.0,0.0,0.0,0.0,2020,15330,,6,,09
1 09.609.01.153.30 2019,6307.0,HE-1-KOMUN PUBLIKO BERRIAK,0.0,0.0,0.0,65000.0,-65000.0,0.0,0.0,0.0,0.0,2019,15330,,6,,09
1 09.609.01.172.20 2020,6648.0,HE-9-NIRE BORDA PARKEA,0.0,0.0,0.0,50000.0,-50000.0,6776.0,0.0,0.0,0.0,2020,17220,,6,,09
1 09.609.04.231.03 2020,6649.0,HE-8-SOKADUN PARKEA,0.0,0.0,0.0,104000.0,-104000.0,0.0,0.0,0.0,0.0,2020,23103,,6,,09
1 09.609.05.151.10 2020,6650.0,HE-13-BIZIKLETA KAIOLA,0.0,0.0,0.0,33440.0,-33440.0,0.0,0.0,0.0,0.0,2020,15110,,6,,09
1 09.609.98.153.30 2017,6309.0,HERABAKI-12-KARABEL PARKEA,0.0,0.0,0.0,19087.54,-19087.54,0.0,0.0,0.0,0.0,2017,15330,,6,,09
1 09.622.01.323.10 2017,6310.0,HERABAKI-32-ZIKUÑAGA IKASTETXEA,0.0,0.0,0.0,10012.75,-10012.75,10012.75,0.0,0.0,0.0,2017,32310,,6,,09
1 09.622.02.920.02 2018,6312.0,HE-8-ARGITERIA AURREZPENA,0.0,0.0,0.0,108503.74,-108503.74,87921.48,0.0,0.0,0.0,2018,92002,,6,,09
1 09.623.01.172.40 2020,6651.0,HE-21-KAXKO ARGITERIA,0.0,0.0,0.0,165000.0,-165000.0,0.0,0.0,0.0,0.0,2020,17240,,6,,09
1 09.623.02.162.10 2020,6652.0,HE-19-GARBIGUNE IBILTARIA,0.0,0.0,0.0,66000.0,-66000.0,0.0,0.0,0.0,0.0,2020,16210,,6,,09
