Partida,Código interno,Descripción,Año,Pto inicial,Oblig. recon.
1 01.121.99.333.00 2015 (4300),4300,FUN.ORD.OSAG:KULTUR ETXEA,2015,33894.0,61892.66
1 01.121.99.335.00 2015 (4301),4301,FUN.ORD.OSAG:EUSKARA ZERBITZUA,2015,57811.0,61689.96
1 01.121.99.335.10 2015 (4302),4302,FUN.ORD.OSAG:EUSKALTEGIA,2015,143391.0,149968.19
1 01.121.99.335.30 2015 (4303),4303,FUN.ORD.OSAG:EUSKARA PLANA,2015,36926.0,29289.46
1 01.121.99.335.40 2015 (4304),4304,FUN.ORD.OSAG:UDALEKUAK,2015,69160.0,14065.22
1 01.121.99.342.00 2015 (4305),4305,FUN.ORD.OSAG:KIROLDEGIA,2015,264849.0,283618.36
1 01.121.99.342.01 2015 (4306),4306,FUN.ORD.OSAG:IGERILEKUAK,2015,11796.0,0.0
1 01.121.99.414.00 2015 (4307),4307,FUN.ORD.OSAG:INGURUNEAREN HOBEKUNTZA,2015,18526.0,18525.78
1 01.121.99.432.00 2015 (4308),4308,FUN.ORD.OSAG:TURISMOA,2015,18463.0,18462.92
1 01.121.99.912.00 2015 (4309),4309,LAN.KONTR.OSAG:GOBERNU ORGANOAK,2015,6985.0,2024.25
1 01.121.99.920.00 2015 (4310),4310,FUN.ORD.OSAG:ADMINISTRAZIO OROKORRA,2015,170230.0,163931.91
1 01.121.99.920.10 2015 (4311),4311,FUN.ORD.OSAG:PERTSONALA,2015,57307.0,72322.69
1 01.121.99.920.11 2015 (4312),4312,FUN.ORD.OSAG:SEGUR ETA OSASUNA,2015,21500.0,25700.75
1 01.121.99.920.20 2015 (4313),4313,FUN.ORD.OSAG:INFORMATIKA,2015,45154.0,45165.44
1 01.121.99.920.30 2015 (4314),4314,FUN.ORD.OSAG:ARTXIBOA,2015,40070.0,37291.1
1 01.121.99.929.10 2015 (4315),4315,FUN.ORD.OSAG:BAKE EPAITEGIA,2015,4915.0,4842.6
1 01.121.99.931.00 2015 (4316),4316,FUN.ORD.OSAG:ADMINIST.EKONOMIKOA,2015,149990.0,173999.41
1 01.121.99.932.00 2015 (4317),4317,FUN.ORD.OSAG:BILKETA,2015,101558.0,117720.99
1 01.121.99.933.00 2015 (4318),4318,FUN.ORD.OSAG:ONDAREA ETA KONTRATAZIOA,2015,88964.0,71088.52
1 01.130.99.323.00 2015 (4319),4319,LAN.KONTR.OSAG: IKASTETXEAK,2015,36156.0,0.0
1 01.130.99.333.00 2015 (4320),4320,LAN.KONTR.OGAS:KULTUR ETXEA,2015,4100.0,0.0
1 01.131.01.241.01 2015 (4321),4321,LAN-KONT.LANG:ikastaroak,2015,40790.0,25286.75
1 01.131.01.241.02 2015 (4322),4322,LAN-KONT:lan sustapena-lanbide,2015,0.0,24962.49
1 01.131.01.241.03 2015 (4323),4323,LAN-KONT:lan sustapena-diputazioa,2015,55700.0,0.0
1 01.131.01.323.00 2015 (4324),4324,LAB.KONT.:IKASTETXEAK,2015,0.0,0.0
1 01.131.01.324.10 2015 (4325),4325,LAN-KONT.LANG:HLP programak,2015,90747.0,110531.99
1 01.131.01.330.00 2015 (4833),4833,LAB.KONT.:KULTURA.,2015,0.0,2623.23
1 01.131.01.333.00 2015 (4326),4326,LAN-KONT.LANG:KULTUR ETXEA,2015,0.0,0.0
1 01.131.01.342.00 2015 (4327),4327,LAB.KONT.:KIROLDEGIA,2015,12999.0,14927.7
1 01.131.02.342.00 2015 (4328),4328,lan berezietako langileen ordainsariak,2015,0.0,1043.89
1 01.160.01.132.00 2015 (4329),4329,GIZ.SEG+OLAZ:UDALTZAINGOA,2015,319129.0,301515.44
1 01.160.01.150.00 2015 (4330),4330,GIZ.SEG+OLAZ:HIRIGINTZA,2015,73188.0,50223.22
1 01.160.01.153.40 2015 (4331),4331,GIZ.SEG+OLAZ:OBRETAKO LANTALDEA,2015,132720.0,121490.33
1 01.160.01.153.50 2015 (4332),4332,GIZARTE SEGUR:ZERBITZU PUBLIKOAK,2015,17713.0,20906.26
1 01.160.01.161.00 2015 (4333),4333,GIZ.SEG+OLAZ:UR HORNIDURA,2015,32574.0,29554.38
1 01.160.01.164.00 2015 (4334),4334,GIZARTE SEGUR:HILERRIA,2015,8531.0,1772.78
1 01.160.01.165.00 2015 (4335),4335,GIZ.SEG+OLAZ:KALEKO ARGIKUNTZA,2015,51137.0,49717.64
1 01.160.01.170.00 2015 (4336),4336,GIZARTE SEGUR:INGURUGIROA,2015,19918.0,19818.77
1 01.160.01.171.00 2015 (4337),4337,GIZ.SEG+OLAZ:PARKEAK ETA LORATEGIAK,2015,12824.0,13164.92
1 01.160.01.230.02 2015 (4338),4338,GIZARTE SEGUR:LANKIDETZA,2015,1488.0,829.42
1 01.160.01.231.00 2015 (4339),4339,GIZARTE SEGUR:BERDINTASUNA,2015,28385.0,22333.57
1 01.160.01.231.03 2015 (4835),4835,GIZARTE SEGUR: GAZTERIA.,2015,0.0,3242.0
1 01.160.01.241.00 2015 (4340),4340,GIZARTE SEGUR:TOKI GARAPENA,2015,24904.0,39085.36
1 01.160.01.241.01 2015 (4341),4341,GIZARTE SEGUR:ikastaroak,2015,13144.0,8305.73
1 01.160.01.241.02 2015 (4342),4342,lIZARTE SEGURANTZA:lansustapena-Lanbide,2015,0.0,8267.91
1 01.160.01.241.03 2015 (4343),4343,GIZARTE SEGURANTZA:lansustapena-Diputazi,2015,18400.0,0.0
1 01.160.01.323.00 2015 (4344),4344,GIZARTE SEGUR:IKASTETXEAK,2015,41705.0,30997.85
1 01.160.01.323.30 2015 (4345),4345,GIZARTE SEGUR:HAUR-ESKOLA,2015,0.0,0.0
1 01.160.01.324.10 2015 (4346),4346,GIZARTE SEGUR:HLP programak,2015,30075.0,29216.29
1 01.160.01.326.01 2015 (4347),4347,GIZARTE SEGUR:MUSIKA ESKOLA,2015,132550.0,133506.93
1 01.160.01.330.00 2015 (4348),4348,GIZARTE SEGUR:KULTURA ZERBITZUA,2015,19817.0,20734.54
1 01.160.01.332.10 2015 (4349),4349,GIZARTE SEGUR:LIBURUTEGIA,2015,43743.0,40055.61
1 01.160.01.333.00 2015 (4350),4350,GIZARTE SEGUR:KULTUR ETXEA,2015,16126.0,3664.17
1 01.160.01.335.00 2015 (4351),4351,GIZARTE SEGUR:EUSKARA ZERBITZUA,2015,28940.0,30348.0
1 01.160.01.335.10 2015 (4352),4352,GIZARTE SEGUR:EUSKALTEGIA,2015,77283.0,82210.3
1 01.160.01.335.30 2015 (4353),4353,GIZARTE SEGUR:EUSKARA PLANA,2015,19724.0,16637.37
1 01.160.01.335.40 2015 (4354),4354,GIZARTE SEGUR:UDALEKUAK,2015,21682.0,21937.85
1 01.160.01.342.00 2015 (4355),4355,GIZ.SEG+OLAZ:KIROLDEGIA,2015,120786.0,107500.39
1 01.160.01.342.01 2015 (4356),4356,GIZARTE SEGUR:IGERILEKUAK,2015,6360.0,0.0
1 01.160.01.414.00 2015 (4357),4357,GIZARTE SEGUR:INGURUNEAREN HOBEKUNTZA,2015,8264.0,8283.16
1 01.160.01.432.00 2015 (4358),4358,GIZARTE SEGUR:TURISMOA,2015,9188.0,9408.16
1 01.160.01.912.00 2015 (4359),4359,GIZARTE SEGUR:GOBERNU ORGANOAK,2015,58529.0,65369.06
1 01.160.01.920.00 2015 (4360),4360,GIZ.SEG+OLAZ:ADMINISTRAZIO OROKORRA,2015,79646.0,76096.05
1 01.160.01.920.10 2015 (4361),4361,GIZ.SEG+OLAZ:PERTSONALA,2015,32175.0,35013.54
1 01.160.01.920.11 2015 (4362),4362,GIZARTE SEGUR:SEGUR.ETA OSASUNA,2015,10735.0,10977.12
1 01.160.01.920.20 2015 (4363),4363,GIZARTE SEGUR:INFORMATIKA,2015,20240.0,20354.88
1 01.160.01.920.30 2015 (4364),4364,GIZARTE SEGUR:ARTXIBOA,2015,18755.0,17132.98
1 01.160.01.929.10 2015 (4365),4365,GIZARTE SEGUR:BAKE EPITEGIA,2015,2644.0,2482.37
1 01.160.01.931.00 2015 (4366),4366,GIZ.SEG+OLAZ:ADMINISTRAZIO EKONOMIKOA,2015,70569.0,79143.73
1 01.160.01.932.00 2015 (4367),4367,GIZ.SEG+OLAZ:BILKETA,2015,58714.0,56102.0
1 01.160.01.933.00 2015 (4368),4368,GIZARTE SEGUR:ONDAREA ETA KONTRATAZIOA,2015,35976.0,32516.22
1 01.160.04.132.00 2015 (4369),4369,ELKARKIDETZA:UDALTZAINGOA,2015,13608.0,13631.52
1 01.160.04.150.00 2015 (4370),4370,ELKARKIDETZA:HIRIGINTZA,2015,8196.0,5033.58
1 01.160.04.153.40 2015 (4371),4371,ELKARKIDETZA:OBRETAKO LANTALDEA,2015,11394.0,7181.6
1 01.160.04.153.50 2015 (4372),4372,ELKARKIDETA:ZERBITZU PUBLIKOAK,2015,1899.0,2515.34
1 01.160.04.161.00 2015 (4373),4373,ELKARKIDETZA:UR HORNIDURA,2015,949.0,1288.58
1 01.160.04.164.00 2015 (4374),4374,ELKARKIDETZA:HILERRIA,2015,949.0,949.48
1 01.160.04.165.00 2015 (4375),4375,ELKARKIDETZA:KALEKO ARGIKUNTZA,2015,949.0,1695.5
1 01.160.04.170.00 2015 (4376),4376,ELKARKIDETZA:INGURUGIROA,2015,1696.0,1695.82
1 01.160.04.171.00 2015 (4377),4377,ELKARKIDETZA:PARKEAK ETA LORATEGIAK,2015,949.0,949.48
1 01.160.04.231.00 2015 (4378),4378,ELKARKIDETZA:BERDINTASUNA,2015,4668.0,1009.2
1 01.160.04.241.00 2015 (4379),4379,ELKARKIDETZA:TOKI GARAPENA,2015,2334.0,1709.16
1 01.160.04.323.00 2015 (4380),4380,ELKARKIDETZA:IKASTETXEAK,2015,2848.0,3797.92
1 01.160.04.323.30 2015 (4381),4381,ELKARKIDETZA:HAUR-ESKOLA,2015,0.0,0.0
1 01.160.04.326.01 2015 (4382),4382,ELKARKIDETZA:MUSIKA ESKOLA,2015,10642.0,10724.97
1 01.160.04.330.00 2015 (4383),4383,ELKARKIDETZA:KULTURA ZERBITZUA,2015,1899.0,890.1
1 01.160.04.332.10 2015 (4384),4384,ELKARKIDETZA:LIBURUTEGIA,2015,6177.0,6177.08
1 01.160.04.333.00 2015 (4385),4385,ELKARKIDETZA:KULTUR ETXEA,2015,1899.0,1898.96
1 01.160.04.335.00 2015 (4386),4386,ELKARKIDETZA:EUSKARA ZERBITZUA,2015,3905.0,4201.86
1 01.160.04.335.10 2015 (4387),4387,ELKARKIDETZA:EUSKALTEGIA,2015,9257.0,10036.96
1 01.160.04.335.30 2015 (4388),4388,ELKARKIDETZA:EUSKARA PLANA,2015,2769.0,2175.8
1 01.160.04.342.00 2015 (4389),4389,ELKARKIDETZA:KIROLDEGIA,2015,14207.0,12309.5
1 01.160.04.342.01 2015 (4390),4390,ELKARKIDETZA:IGERILEKUAK,2015,949.0,0.0
1 01.160.04.414.00 2015 (4391),4391,ELKARKIKETZA:INGURUNEAREN HOBEKUNTZA,2015,949.0,949.48
1 01.160.04.432.00 2015 (4392),4392,ELKARKIDETZA:TURISMOA,2015,1385.0,1384.6
1 01.160.04.912.00 2015 (4393),4393,ELKARKIDETZA: GOBERNU ORGANOAK,2015,1134.0,1384.6
1 01.160.04.920.00 2015 (4394),4394,ELKARKIDETZA:ADMINISTRAZIO OROKORRA,2015,8902.0,7775.23
1 01.160.04.920.10 2015 (4395),4395,ELKARKIDETZA:PERTSONALA,2015,5664.0,2271.92
1 01.160.04.920.11 2015 (4396),4396,ELKARKIDETZA:SEGUR.ETA OSASUNA,2015,1386.0,1384.6
1 01.160.04.920.20 2015 (4397),4397,ELKARKIDETZA:INFORMATIKA,2015,2521.0,1384.6
