#Partida,Barruko ,Deskribapena,Has.ko aurrek.,B. betiko aurrek.,Atxikipenak,Baimendua,Erabilgarria,Xedatua,Obligazioa,ME,Ordainketa,Urtea,Funtzionala,Dirección,Kapitulua,Sección,Organikoa
1 01.160.01.933.00 2017,4368.0,GIZARTE SEGUR:ONDAREA ETA KONTRATAZIOA,22984.0,22984.0,0.0,37186.16,-14202.16,37186.16,37186.16,37186.16,37186.16,2017,93300,,1,,01
1 01.160.04.132.00 2017,4369.0,ELKARKIDETZA:UDALTZAINGOA,14767.0,14767.0,0.0,14869.4,-102.4,14869.4,14869.4,14869.4,14869.4,2017,13200,,1,,01
1 01.160.04.151.00 2017,4370.0,ELKARKIDETZA:HIRIGINTZA,3657.0,3657.0,0.0,2783.3,873.7,2783.3,2783.3,2783.3,2783.3,2017,15100,,1,,01
1 01.160.04.153.40 2017,4371.0,ELKARKIDETZA:OBRETAKO LANTALDEA,10054.0,10054.0,0.0,10767.6,-713.6,10767.6,10767.6,10767.6,10767.6,2017,15340,,1,,01
1 01.160.04.161.00 2017,4373.0,ELKARKIDETZA:UR HORNIDURA,2848.0,2848.0,0.0,2868.6,-20.6,2868.6,2868.6,2868.6,2868.6,2017,16100,,1,,01
1 01.160.04.164.00 2017,4374.0,ELKARKIDETZA:HILERRIA,949.0,949.0,0.0,956.2,-7.2,956.2,956.2,956.2,956.2,2017,16400,,1,,01
1 01.160.04.165.00 2017,5516.0,ELKARKIDETZA: KALE ARGITERIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,16500,,1,,01
1 01.160.04.171.00 2017,4377.0,ELKARKIDETZA:PARKEAK ETA LORATEGIAK,949.0,949.0,0.0,204.9,744.1,204.9,204.9,204.9,204.9,2017,17100,,1,,01
1 01.160.04.172.20 2017,4376.0,ELKARKIDETZA:INGURUGIROA,1696.0,1696.0,0.0,1707.72,-11.72,1707.72,1707.72,1707.72,1707.72,2017,17220,,1,,01
1 01.160.04.231.00 2017,4378.0,ELKARKIDETZA:BERDINTASUNA,2521.0,2521.0,0.0,2538.2,-17.2,2538.2,2538.2,2538.2,2538.2,2017,23100,,1,,01
1 01.160.04.241.00 2017,4379.0,ELKARKIDETZA:TOKI GARAPENA,1385.0,1385.0,0.0,1394.4,-9.4,1394.4,1394.4,1394.4,1394.4,2017,24100,,1,,01
