Partida,Barruko kodea,Deskribapena,Urtea,Hasierako aurr.,Onart. Oblig.
1 01.120.01.335.10 2017 (4266),4266,FUNTZIONARIOA.SOLDATA.OINARRIA.EUSKALTEG,2017,135148.0,144944.93
1 01.120.01.335.30 2017 (4267),4267,FUNTZIONARIOA.SOLDATA.OINARRIA.EUSKARA P,2017,38739.0,32071.09
1 01.120.01.335.40 2017 (5566),5566,FUNTZIONARIOA.SOLDATA.OINARRIA.UDALEKUA,2017,0.0,44899.56
1 01.120.01.342.00 2017 (4269),4269,FUNTZIONARIOAK.SOLDATA.OINARRIA.KIROLDEG,2017,183626.0,180438.89
1 01.120.01.342.01 2017 (4270),4270,FUNTZIONARIOA.SOLDATA.OINARRIA.IGERILEKU,2017,3819.0,560.58
1 01.120.01.414.00 2017 (4271),4271,FUNTZIONARIOA.SOLDATA.OINARRIA.INGURUNEA,2017,10997.0,10237.76
1 01.120.01.432.00 2017 (4272),4272,FUNTZIONARIOA.SOLDATA.OINARRIA.TURISMOA,2017,17661.0,17968.71
1 01.120.01.920.00 2017 (4273),4273,FUNTZIONARIOA.SOLDATA.OINARRIA.ADMINISTR,2017,127177.0,136570.92
1 01.120.01.920.10 2017 (4274),4274,FUNTZIONARIOA.SOLDATA.OINARRIA.PERTSONAL,2017,46316.0,47193.68
1 01.120.01.920.11 2017 (4275),4275,FUNTZIONARIOA.SOLDATA.OINARRIA.SEGURTASU,2017,19028.0,20270.03
1 01.120.01.920.20 2017 (4276),4276,FUNTZIONARIOA.SOLDATA.OINARRIA.INFORMATI,2017,29830.0,30657.4
1 01.120.01.920.30 2017 (4277),4277,FUNTZIONARIOA.SOLDATA.OINARRIA.ARTXIBOA,2017,19012.0,19200.32
1 01.120.01.929.10 2017 (4278),4278,FUNTZIONARIOA.SOLDATA.OINARRIA.BAKE EPAI,2017,3824.0,2830.26
1 01.120.01.931.00 2017 (4279),4279,FUNTZIONARIOA.SOLDATA.OINARRIA.ADMINIST.,2017,115013.0,116627.91
1 01.120.01.932.00 2017 (4280),4280,FUNTZIONARIOA.SOLDATA.OINARRIA.BILKETA,2017,68026.0,64701.83
1 01.120.01.933.00 2017 (4281),4281,FUNTZIONARIOA.SOLDATA.OINARRIA.ONDAREA-K,2017,33309.0,46104.88
1 01.121.06.920.10 2017 (4282),4282,LANGILEEN ORDEZKAPENETARAKO POLTSA,2017,99452.0,0.0
1 01.121.99.132.00 2017 (4283),4283,FUNTZIONARIOAK.SOLDATA.OSAGARRIA.UDALTZA,2017,769669.0,761551.67
1 01.121.99.151.00 2017 (4284),4284,FUNTZIONARIOA.SOLDATA.OSAGARRIA.HIRIGINT,2017,175304.0,150871.56
1 01.121.99.153.40 2017 (4285),4285,FUNTZIONARIOA.SOLDATA.OSAGARRIA.OBRETAKO,2017,294686.0,359004.86
1 01.121.99.161.00 2017 (4287),4287,FUNTZIONARIOA.SOLDATA.OSAGARRIA.UR HORNI,2017,93079.0,79402.48
1 01.121.99.164.00 2017 (4288),4288,FUNTZIONARIOA.SOLDATA.OSAGARRIA.HILERRIA,2017,17645.0,17515.62
1 01.121.99.165.00 2017 (4289),4289,FUNTZIONARIOA.SOLDATA.OSAGARRIA.KALEKO A,2017,40961.0,57621.7
1 01.121.99.171.00 2017 (4291),4291,FUNTZIONARIOA.SOLDATA.OSAGARRIA.PARKEAK,2017,19460.0,7048.08
1 01.121.99.172.20 2017 (4290),4290,FUNTZIONARIOA.SOLDATA.OSAGARRIA.INGURUGI,2017,39677.0,39998.07
1 01.121.99.231.00 2017 (4293),4293,FUNTZIONARIOA.SOLDATA.OSAGARRIA.BERDINTA,2017,59668.0,65145.14
