Partida,Barruko ,Deskribapena,B. betiko aurrek.,Has.ko aurrek.,Atxikipenak,Baimendua,Erabilgarria,Xedatua,Obligazioa,ME,Ordainketa,Urtea,Funtzionala,Dirección,Kapitulua,Sección,Organikoa
1 01.131.01.333.00 2019,4326.0,ALDIBATERAKO.SOLDATA.KULTUR ETXEA,2217.0,2217.0,0.0,0.0,2217.0,0.0,0.0,0.0,0.0,2019,33300,,1,,01
1 01.160.01.132.00 2019,4329.0,GIZ.SEGURANTZA.UDALTZAINGOA,341768.0,341768.0,0.0,368133.81,-26365.81,368133.81,368133.81,368133.81,368133.81,2019,13200,,1,,01
1 01.160.01.151.00 2019,4330.0,GIZ.SEGURANTZA.HIRIGINTZA,106890.0,106890.0,0.0,88587.16,18302.84,88587.16,88587.16,88587.16,88587.16,2019,15100,,1,,01
1 01.160.01.153.40 2019,4331.0,GIZ.SEGURANTZA.OBRETAKO LANTALDEA,176608.0,176608.0,0.0,142617.95,33990.05,142617.95,142617.95,142617.95,142617.95,2019,15340,,1,,01
1 01.160.01.161.00 2019,4333.0,GIZ.SEGURANTZA.UR HORNIDURA,47030.0,47030.0,0.0,58528.15,-11498.15,58528.15,58528.15,58528.15,58528.15,2019,16100,,1,,01
1 01.160.01.164.00 2019,4334.0,GIZARTE SEGUR:HILERRIA,9249.0,9249.0,0.0,7610.22,1638.78,7610.22,7610.22,7610.22,7610.22,2019,16400,,1,,01
1 01.160.01.165.00 2019,4335.0,GIZ.SEGURANTZA.KALEKO ARGIKUNTZA,11220.0,11220.0,0.0,12380.08,-1160.08,12380.08,12380.08,12380.08,12380.08,2019,16500,,1,,01
1 01.160.01.172.20 2019,4336.0,GIZARTE SEGUR:INGURUMENA,11232.0,11232.0,0.0,11716.86,-484.86,11716.86,11716.86,11716.86,11716.86,2019,17220,,1,,01
1 01.160.01.231.00 2019,4339.0,GIZARTE SEGUR:BERDINTASUNA,31294.0,31294.0,0.0,31008.07,285.93,31008.07,31008.07,31008.07,31008.07,2019,23100,,1,,01
1 01.160.01.231.01 2019,4338.0,GIZARTE SEGUR:LANKIDETZA,963.0,963.0,0.0,521.58,441.42,521.58,521.58,521.58,521.58,2019,23101,,1,,01
1 01.160.01.231.03 2019,4870.0,GIZARTE SEGUR. GAZTERIA,20595.0,20595.0,0.0,9668.71,10926.29,9668.71,9668.71,9668.71,9668.71,2019,23103,,1,,01
1 01.160.01.241.00 2019,4340.0,GIZARTE SEGUR:TOKI GARAPENA,38409.0,26409.0,0.0,43125.04,-4716.04,43125.04,43125.04,43125.04,43125.04,2019,24100,,1,,01
1 01.160.01.241.01 2019,4341.0,GIZARTE SEGURANTZA.ENPLEGU IKASTAROAK,102.0,102.0,0.0,0.0,102.0,0.0,0.0,0.0,0.0,2019,24101,,1,,01
1 01.160.01.241.02 2019,4342.0,GIZARTE SEGURANTZA.LANBIDE PROGRAMAK,17703.0,17703.0,0.0,19331.23,-1628.23,19331.23,19331.23,19331.23,19331.23,2019,24102,,1,,01
1 01.160.01.323.10 2019,4344.0,GIZARTE SEGUR:IKASTETXEAK,42797.0,42797.0,0.0,38598.85,4198.15,38598.85,38598.85,38598.85,38598.85,2019,32310,,1,,01
1 01.160.01.324.10 2019,4346.0,GIZARTE SEGUR:HLP programak,39551.0,39551.0,0.0,34872.64,4678.36,34872.64,34872.64,34872.64,34872.64,2019,32410,,1,,01
1 01.160.01.326.01 2019,4347.0,GIZARTE SEGUR:MUSIKA ESKOLA,142451.0,142451.0,0.0,141635.88,815.12,141635.88,141635.88,141635.88,141635.88,2019,32601,,1,,01
1 01.160.01.330.00 2019,4348.0,GIZARTE SEGUR:KULTURA ZERBITZUA,26437.0,26437.0,0.0,25357.4,1079.6,25357.4,25357.4,25357.4,25357.4,2019,33000,,1,,01
1 01.160.01.332.10 2019,4349.0,GIZARTE SEGUR:LIBURUTEGIA,47558.0,47558.0,0.0,34586.99,12971.01,34586.99,34586.99,34586.99,34586.99,2019,33210,,1,,01
1 01.160.01.333.00 2019,4350.0,GIZARTE SEGUR:KULTUR ETXEA,17145.0,17145.0,0.0,20282.59,-3137.59,20282.59,20282.59,20282.59,20282.59,2019,33300,,1,,01
1 01.160.01.335.00 2019,4351.0,GIZARTE SEGUR:EUSKARA ZERBITZUA,40577.0,40577.0,0.0,42491.82,-1914.82,42491.82,42491.82,42491.82,42491.82,2019,33500,,1,,01
1 01.160.01.335.10 2019,4352.0,GIZARTE SEGUR:EUSKALTEGIA,86745.0,86745.0,0.0,87605.99,-860.99,87605.99,87605.99,87605.99,87605.99,2019,33510,,1,,01
1 01.160.01.335.30 2019,4353.0,GIZARTE SEGUR:EUSKARA PLANA,10313.0,10313.0,0.0,10563.49,-250.49,10563.49,10563.49,10563.49,10563.49,2019,33530,,1,,01
1 01.160.01.335.40 2019,4354.0,GIZARTE SEGUR:UDALEKUAK,18237.0,18237.0,0.0,21372.86,-3135.86,21372.86,21372.86,21372.86,21372.86,2019,33540,,1,,01
1 01.160.01.342.00 2019,4355.0,GIZ.SEG+OLAZ:KIROLDEGIA,129560.0,129560.0,0.0,94280.05,35279.95,94280.05,94280.05,94280.05,94280.05,2019,34200,,1,,01
1 01.160.01.342.01 2019,4356.0,GIZARTE SEGUR:IGERILEKUAK,4743.0,4743.0,0.0,3248.5,1494.5,3248.5,3248.5,3248.5,3248.5,2019,34201,,1,,01
1 01.160.01.414.00 2019,4357.0,GIZARTE SEGUR:INGURUNEAREN HOBEKUNTZA,9475.0,9475.0,0.0,7728.2,1746.8,7728.2,7728.2,7728.2,7728.2,2019,41400,,1,,01
1 01.160.01.432.00 2019,4358.0,GIZARTE SEGUR:TURISMOA,9700.0,9700.0,0.0,10317.9,-617.9,10317.9,10317.9,10317.9,10317.9,2019,43200,,1,,01
1 01.160.01.912.00 2019,4359.0,GIZARTE SEGUR:GOBERNU ORGANOAK,78410.0,78410.0,0.0,77744.91,665.09,77744.91,77744.91,77744.91,77744.91,2019,91200,,1,,01
1 01.160.01.920.00 2019,4360.0,GIZ.SEGURANTZA.ADMINISTRAZIO OROKORRA,117318.0,117318.0,0.0,80512.06,36805.94,80512.06,80512.06,80512.06,80512.06,2019,92000,,1,,01
1 01.160.01.920.10 2019,4361.0,GIZ.SEGURANTZA.PERTSONALA,107094.0,107094.0,0.0,34446.63,72647.37,34446.63,34446.63,34446.63,34446.63,2019,92010,,1,,01
1 01.160.01.920.11 2019,4362.0,GIZARTE SEGURANTZA.LAN SEGURTASUNA-OSASU,11840.0,11840.0,0.0,12590.45,-750.45,12590.45,12590.45,12590.45,12590.45,2019,92011,,1,,01
1 01.160.01.920.20 2019,4363.0,GIZARTE SEGUR:INFORMATIKA,21562.0,21562.0,0.0,24059.32,-2497.32,24059.32,24059.32,24059.32,24059.32,2019,92020,,1,,01
1 01.160.01.920.30 2019,4364.0,GIZARTE SEGUR:ARTXIBOA,10735.0,10735.0,0.0,11460.07,-725.07,11460.07,11460.07,11460.07,11460.07,2019,92030,,1,,01
1 01.160.01.924.00 2019,5882.0,GIZARTE SEGUR.PARTEHARTZEA,9571.0,9571.0,0.0,10132.48,-561.48,10132.48,10132.48,10132.48,10132.48,2019,92400,,1,,01
1 01.160.01.929.10 2019,4365.0,GIZARTE SEGUR:BAKE EPITEGIA,2262.0,2262.0,0.0,3558.61,-1296.61,3558.61,3558.61,3558.61,3558.61,2019,92910,,1,,01
1 01.160.01.931.00 2019,4366.0,GIZ.SEGURANTZA.ADMINISTRAZIO EKONOMIKOA,72555.0,72555.0,0.0,63371.23,9183.77,63371.23,63371.23,63371.23,63371.23,2019,93100,,1,,01
1 01.160.01.932.00 2019,4367.0,GIZ.SEGURANTZA.BILKETA,40481.0,40481.0,0.0,43307.38,-2826.38,43307.38,43307.38,43307.38,43307.38,2019,93200,,1,,01
1 01.160.01.933.00 2019,4368.0,GIZARTE SEGUR:ONDAREA ETA KONTRATAZIOA,33436.0,33436.0,0.0,36838.66,-3402.66,36838.66,36838.66,36838.66,36838.66,2019,93300,,1,,01
1 01.160.04.132.00 2019,4369.0,ELKARKIDETZA E.P.S.V.: UDALTZAINGOA,15021.0,15021.0,0.0,16436.22,-1415.22,16436.22,16436.22,16436.22,16436.22,2019,13200,,1,,01
1 01.160.04.151.00 2019,4370.0,ELKARKIDETZA E.P.S.V.: HIRIGINTZA,4320.0,4320.0,0.0,2743.36,1576.64,2743.36,2743.36,2743.36,2743.36,2019,15100,,1,,01
1 01.160.04.153.40 2019,4371.0,ELKARKIDETZA E.P.S.V.:OBRETAKO LANTALDEA,13986.0,13986.0,0.0,9826.14,4159.86,9826.14,9826.14,9826.14,9826.14,2019,15340,,1,,01
1 01.160.04.161.00 2019,4373.0,ELKARKIDETZA E.P.S.V.: UR HORNIDURA,3892.0,3892.0,0.0,4905.08,-1013.08,4905.08,4905.08,4905.08,4905.08,2019,16100,,1,,01
1 01.160.04.164.00 2019,4374.0,ELKARKIDETZA E.P.S.V.: HILERRIA,973.0,973.0,0.0,986.02,-13.02,986.02,986.02,986.02,986.02,2019,16400,,1,,01
1 01.160.04.172.20 2019,4376.0,ELKARKIDETZA E.P.S.V.: INGURUMENA,1738.0,1738.0,0.0,1760.92,-22.92,1760.92,1760.92,1760.92,1760.92,2019,17220,,1,,01
1 01.160.04.231.00 2019,4378.0,ELKARKIDETZA E.P.S.V.: BERDINTASUNA,4002.0,4002.0,0.0,4055.52,-53.52,4055.52,4055.52,4055.52,4055.52,2019,23100,,1,,01
1 01.160.04.231.03 2019,5610.0,ELKARKIDETZA-GAZTERIA,1418.0,1418.0,0.0,0.0,1418.0,0.0,0.0,0.0,0.0,2019,23103,,1,,01
1 01.160.04.241.00 2019,4379.0,ELKARKIDETZA E.P.S.V.: TOKI GARAPENA,1418.0,1418.0,0.0,1943.5,-525.5,1943.5,1943.5,1943.5,1943.5,2019,24100,,1,,01
