Partida,Código ,Descripción,Ppto. Inicial,Ppto. Definitivo,Retenciones,Autorizado,Disponible,Dispuesto,Obligación,ME,Pago,Año,Funcional,Dirección,Capítulo,Sección,Orgánica
1 02.226.03.932.00 2019,4451.0,Anuncios recaudacion,1500.0,1500.0,0.0,1755.71,-255.71,1755.71,1755.71,1755.71,1755.71,2019,93200,,2,,02
1 02.226.04.920.00 2019,4452.0,Asesoria jurídica,30000.0,30000.0,0.0,30825.68,-825.68,30825.68,30825.68,30825.68,30825.68,2019,92000,,2,,02
1 02.226.06.231.03 2019,4453.0,Proyectos,20000.0,20000.0,0.0,4046.8,15953.2,4046.8,4046.8,4046.8,4046.8,2019,23103,,2,,02
1 02.226.06.323.00 2019,4454.0,Actividades culturales,11000.0,11000.0,0.0,7669.29,3330.71,7669.29,1519.09,1519.09,1519.09,2019,32300,,2,,02
1 02.226.06.323.00 2018,5924.0,Actividades culturales,0.0,7092.71,0.0,7092.71,0.0,7092.71,7092.71,7092.71,7092.71,2018,32300,,2,,02
1 02.226.06.326.01 2019,4455.0,Conciertos,20000.0,20000.0,0.0,20026.9,-26.9,20026.9,20026.9,20026.9,20026.9,2019,32601,,2,,02
1 02.226.06.334.00 2019,4456.0,Actividades culturales,153400.0,153400.0,0.0,161781.08,-8381.08,161781.08,147015.78,147015.78,147015.78,2019,33400,,2,,02
1 02.226.06.334.00 2018,5925.0,Actividades culturales,0.0,17406.5,0.0,17297.75,108.75,17297.75,17297.75,17297.75,17297.75,2018,33400,,2,,02
1 02.226.06.335.00 2019,4457.0,Actividades Euskara,25200.0,25200.0,0.0,17416.27,7783.73,12416.27,10419.77,10419.77,10419.77,2019,33500,,2,,02
1 02.226.06.335.00 2018,5926.0,Actividades Euskara,0.0,10000.0,0.0,6602.35,3397.65,6602.35,6602.35,6602.35,6602.35,2018,33500,,2,,02
1 02.226.06.338.00 2019,4458.0,Organizacion fiestas,200000.0,200000.0,0.0,191027.04,8972.96,191027.04,191027.04,191027.04,191027.04,2019,33800,,2,,02
1 02.226.06.338.00 2018,5927.0,Organizacion fiestas,0.0,5384.5,0.0,5384.5,0.0,5384.5,5384.5,5384.5,5384.5,2018,33800,,2,,02
1 02.226.06.341.00 2019,5885.0,Programa igualdad deporte,8000.0,8000.0,0.0,7177.3,822.7,2577.3,2577.3,2577.3,2577.3,2019,34100,,2,,02
1 02.226.06.342.00 2019,4459.0,Actividades deporte,15500.0,15500.0,0.0,15382.02,117.98,12682.02,12682.02,12682.02,12682.02,2019,34200,,2,,02
1 02.226.06.342.00 2018,5928.0,Actividades deporte,0.0,2011.38,0.0,1946.03,65.35,1946.03,1946.03,1946.03,1946.03,2018,34200,,2,,02
1 02.226.06.414.00 2019,4652.0,Zuhaitz eguna,3500.0,3500.0,0.0,2000.37,1499.63,2000.37,2000.37,2000.37,2000.37,2019,41400,,2,,02
